Date,Product,Category,City,Sales,Profit,Quantity
2025-01-05,Laptop,Electronics,Mumbai,55000,8000,2
2025-01-07,Mobile,Electronics,Delhi,30000,5000,3
2025-01-10,Shoes,Fashion,Ahmedabad,5000,1200,5
2025-01-12,T-Shirt,Fashion,Surat,2000,500,10
2025-01-15,Tablet,Electronics,Pune,25000,4000,2
2025-02-03,Laptop,Electronics,Delhi,60000,9000,2
2025-02-05,Shoes,Fashion,Mumbai,7000,1500,6
2025-02-10,Watch,Accessories,Ahmedabad,4000,900,4
2025-02-14,Mobile,Electronics,Surat,28000,4500,3
2025-02-18,Backpack,Accessories,Pune,3500,800,5
2025-03-02,Laptop,Electronics,Mumbai,52000,7500,2
2025-03-05,Tablet,Electronics,Delhi,27000,4200,2
2025-03-08,Shoes,Fashion,Ahmedabad,6500,1400,5
2025-03-12,T-Shirt,Fashion,Pune,2500,600,8
2025-03-18,Watch,Accessories,Surat,4500,1000,3
2025-04-01,Mobile,Electronics,Mumbai,32000,5200,3
2025-04-04,Laptop,Electronics,Delhi,58000,8500,2
2025-04-09,Backpack,Accessories,Ahmedabad,3000,700,4
2025-04-14,Shoes,Fashion,Surat,7200,1600,6
2025-04-20,Tablet,Electronics,Pune,26000,3900,2
2025-05-03,T-Shirt,Fashion,Mumbai,2800,650,9
2025-05-06,Watch,Accessories,Delhi,5000,1100,4
2025-05-10,Mobile,Electronics,Ahmedabad,31000,4800,3
2025-05-15,Laptop,Electronics,Surat,61000,9200,2
2025-05-21,Shoes,Fashion,Pune,6800,1500,5
2025-06-02,Tablet,Electronics,Mumbai,24000,3700,2
2025-06-06,T-Shirt,Fashion,Delhi,2300,550,7
2025-06-11,Backpack,Accessories,Surat,3200,750,5
2025-06-18,Watch,Accessories,Pune,4800,1050,4
2025-06-25,Mobile,Electronics,Mumbai,33000,5400,3